date,asset,n_news_total,sent_index_mean,sent_index_strength,share_pos,share_neg,share_neu,open,close,fx_diff,fx_return,real_dir,target_up,prob_up_baseline,pred_up_baseline,signal_baseline,hit_baseline,prob_up_var1,pred_up_var1,signal_var1,hit_var1,prob_up_rf,pred_up_rf,signal_rf,hit_rf
2025-07-09,USD/PEN,28,0.1065455062447914,0.0815614575679785,0.0357142857142857,0.0,0.9642857142857144,3.5420000553131104,3.5420000553131104,0.0,0.0,FLAT,0,0.9431818181818182,1,UP,False,0.8522727272727273,1,UP,False,0.22635449044266143,0,NO_UP,True
2025-07-14,USD/PEN,29,0.1522708459082862,0.1060982019705778,0.0689655172413793,0.0,0.9310344827586208,3.476722002029419,3.476722002029419,0.0,0.0,FLAT,0,0.5454545454545454,1,UP,False,0.7954545454545454,1,UP,False,0.08730915509395064,0,NO_UP,True
2025-07-16,USD/PEN,28,0.189610595449007,0.1344250924642536,0.1428571428571428,0.0,0.8571428571428571,3.560499906539917,3.560499906539917,0.0,0.0,FLAT,0,0.9090909090909091,1,UP,False,0.7727272727272727,1,UP,False,0.31507016655444453,0,NO_UP,True
2025-07-17,USD/PEN,29,0.1050313024556842,0.0790393905692456,0.0689655172413793,0.0,0.9310344827586208,3.5445001125335693,3.5445001125335693,0.0,0.0,FLAT,0,0.9659090909090909,1,UP,False,0.9431818181818182,1,UP,False,0.05235952033981238,0,NO_UP,True
2025-07-22,USD/PEN,29,0.1364395363449022,0.0983038297442942,0.0689655172413793,0.0,0.9310344827586208,3.559000015258789,3.559000015258789,0.0,0.0,FLAT,0,0.5,1,UP,False,0.8977272727272727,1,UP,False,0.031212830057458132,0,NO_UP,True
2025-07-24,USD/PEN,29,0.1400115981954952,0.1010604249433202,0.0,0.0,1.0,3.553499937057495,3.553499937057495,0.0,0.0,FLAT,0,0.7386363636363636,1,UP,False,0.6818181818181818,1,UP,False,0.4238846323441199,0,NO_UP,True
2025-07-25,USD/PEN,27,0.1517970876561271,0.1053019322228376,0.1111111111111111,0.0,0.8888888888888888,3.553499937057495,3.553499937057495,0.0,0.0,FLAT,0,0.8068181818181818,1,UP,False,0.8295454545454546,1,UP,False,0.33642211692032253,0,NO_UP,True
2025-07-31,USD/PEN,30,0.0989449656568467,0.0701767478932747,0.0333333333333333,0.0,0.9666666666666668,3.568000078201294,3.568000078201294,0.0,0.0,FLAT,0,0.8977272727272727,1,UP,False,0.8863636363636364,1,UP,False,0.07930330097185923,0,NO_UP,True
2025-08-04,USD/PEN,26,0.118662671580051,0.0856042669422228,0.0384615384615384,0.0,0.9615384615384616,3.4681849479675293,3.4681849479675293,0.0,0.0,FLAT,0,0.4318181818181818,0,NO_UP,True,0.7272727272727273,1,UP,False,0.031212830057458132,0,NO_UP,True
2025-08-05,USD/PEN,3,0.104286932076017,0.0819138465478069,0.0,0.0,1.0,3.569999933242798,3.569999933242798,0.0,0.0,FLAT,0,0.625,1,UP,False,0.6136363636363636,1,UP,False,0.2757893092198213,0,NO_UP,True
2025-08-07,USD/PEN,28,0.1196672515278416,0.08916019224588,0.0357142857142857,0.0,0.9642857142857144,3.553999900817871,3.553999900817871,0.0,0.0,FLAT,0,0.4772727272727273,0,NO_UP,True,0.6477272727272727,1,UP,False,0.4341563860966882,0,NO_UP,True
2025-08-08,USD/PEN,2,0.0608937758952379,0.0546440433252698,0.0,0.0,1.0,3.553999900817871,3.553999900817871,0.0,0.0,FLAT,0,0.6363636363636364,1,UP,False,0.6590909090909091,1,UP,False,0.40823516047058134,0,NO_UP,True
2025-08-11,USD/PEN,1,0.0310935862362384,0.0291005309960779,0.0,0.0,1.0,3.4663751125335693,3.4663751125335693,0.0,0.0,FLAT,0,0.2159090909090909,0,NO_UP,True,0.38636363636363635,0,NO_UP,True,0.3880102796781741,0,NO_UP,True
2025-08-13,USD/PEN,29,0.0891037018776967,0.0727388504730208,0.0,0.0,1.0,3.5225000381469727,3.5225000381469727,0.0,0.0,FLAT,0,0.125,0,NO_UP,True,0.125,0,NO_UP,True,0.2836074978377385,0,NO_UP,True
2025-08-14,USD/PEN,1,0.0458589531481266,0.041682652253971,0.0,0.0,1.0,3.539999961853028,3.539999961853028,0.0,0.0,FLAT,0,0.3977272727272727,0,NO_UP,True,0.17045454545454544,0,NO_UP,True,0.6750756611051817,1,UP,False
2025-08-15,USD/PEN,27,0.1466274406347009,0.1015970603154758,0.074074074074074,0.0,0.925925925925926,3.559999942779541,3.559999942779541,0.0,0.0,FLAT,0,0.1590909090909091,0,NO_UP,True,0.22727272727272727,0,NO_UP,True,0.21713002201535422,0,NO_UP,True
2025-08-20,USD/PEN,28,0.1396162642299064,0.1024137216267617,0.0714285714285714,0.0,0.9285714285714286,3.505000114440918,3.505000114440918,0.0,0.0,FLAT,0,0.8522727272727273,1,UP,False,0.45454545454545453,0,NO_UP,True,0.1260964925565528,0,NO_UP,True
2025-08-21,USD/PEN,28,0.1128738286040191,0.0820461111369113,0.0714285714285714,0.0,0.9285714285714286,3.496999979019165,3.496999979019165,0.0,0.0,FLAT,0,0.7954545454545454,1,UP,False,0.875,1,UP,False,0.047757858434512995,0,NO_UP,True
2025-08-28,USD/PEN,28,0.1426961194457752,0.1069575495453787,0.0357142857142857,0.0,0.9642857142857144,3.549999952316284,3.549999952316284,0.0,0.0,FLAT,0,0.6022727272727273,1,UP,False,0.7386363636363636,1,UP,False,0.2631786465496615,0,NO_UP,True
2025-09-01,USD/PEN,1,0.0348585918545722,0.0291611897068002,0.0,0.0,1.0,3.4650700092315674,3.4650700092315674,0.0,0.0,FLAT,0,0.8409090909090909,1,UP,False,0.7613636363636364,1,UP,False,0.18080983031766373,0,NO_UP,True
2025-09-02,USD/PEN,26,0.1235327300472328,0.0910322399414716,0.0384615384615384,0.0,0.9615384615384616,3.4619860649108887,3.4619860649108887,0.0,0.0,FLAT,0,0.13636363636363635,0,NO_UP,True,0.375,0,NO_UP,True,0.24464747853996074,0,NO_UP,True
2025-09-04,USD/PEN,28,0.1835179625278604,0.1176439055749694,0.0714285714285714,0.0,0.9285714285714286,3.5360000133514404,3.5360000133514404,0.0,0.0,FLAT,0,0.6704545454545454,1,UP,False,0.3068181818181818,0,NO_UP,True,0.38656539187492606,0,NO_UP,True
2025-09-08,USD/PEN,27,0.1492245864054119,0.1022125921312184,0.037037037037037,0.0,0.9629629629629628,3.4449141025543213,3.4449141025543213,0.0,0.0,FLAT,0,0.9545454545454546,1,UP,False,0.9090909090909091,1,UP,False,0.19559879621847323,0,NO_UP,True
2025-09-09,USD/PEN,29,0.1266377418269885,0.0893627144399979,0.0689655172413793,0.0,0.9310344827586208,3.510999917984009,3.510999917984009,0.0,0.0,FLAT,0,0.875,1,UP,False,0.9318181818181818,1,UP,False,0.014794895471550032,0,NO_UP,True
2025-10-20,USD/PEN,29,0.0840245085800516,0.0667226676673861,0.0344827586206896,0.0,0.9655172413793104,3.326172113418579,3.326172113418579,0.0,0.0,FLAT,0,0.7045454545454546,1,UP,False,0.8181818181818182,1,UP,False,0.04210327793758439,0,NO_UP,True
2025-10-21,USD/PEN,30,0.1124404983284572,0.0832136586466291,0.0,0.0,1.0,3.371500015258789,3.371500015258789,0.0,0.0,FLAT,0,0.36363636363636365,0,NO_UP,True,0.5681818181818182,1,UP,False,0.47213409021929287,0,NO_UP,True
2025-10-23,USD/PEN,29,0.0847217415555797,0.0688183393666099,0.0344827586206896,0.0,0.9655172413793104,3.4049999713897705,3.4049999713897705,0.0,0.0,FLAT,0,0.5909090909090909,1,UP,False,0.48863636363636365,0,NO_UP,True,0.3550692775437164,0,NO_UP,True
2025-10-28,USD/PEN,27,0.1256816386141711,0.0995238932072095,0.074074074074074,0.0,0.925925925925926,3.384999990463257,3.384999990463257,0.0,0.0,FLAT,0,0.38636363636363635,0,NO_UP,True,0.5,1,UP,False,0.5702814290953655,1,UP,False
2025-10-29,USD/PEN,2,0.070485713891685,0.0632563911097658,0.0,0.0,1.0,3.3910000324249268,3.3910000324249268,0.0,0.0,FLAT,0,0.6818181818181818,1,UP,False,0.5568181818181818,1,UP,False,0.16890431293634312,0,NO_UP,True
2025-10-30,USD/PEN,29,0.1514971787431116,0.1050224677229308,0.1034482758620689,0.0,0.896551724137931,3.388499975204468,3.388499975204468,0.0,0.0,FLAT,0,0.26136363636363635,0,NO_UP,True,0.4772727272727273,0,NO_UP,True,0.4002513342921101,0,NO_UP,True
2025-11-03,USD/PEN,28,0.1264198983221181,0.0928176372488513,0.0714285714285714,0.0,0.9285714285714286,3.3046250343322754,3.3046250343322754,0.0,0.0,FLAT,0,0.8863636363636364,1,UP,False,0.6363636363636364,1,UP,False,0.08923279276770048,0,NO_UP,True
2025-11-04,USD/PEN,31,0.0710019821361188,0.0472583974661098,0.032258064516129,0.032258064516129,0.935483870967742,3.375,3.375,0.0,0.0,FLAT,0,0.6931818181818182,1,UP,False,0.8409090909090909,1,UP,False,0.04210327793758439,0,NO_UP,True
2025-11-21,USD/PEN,28,0.0267305685805955,0.0069555923415123,0.0,0.0714285714285714,0.9285714285714286,3.3045449256896973,3.310271978378296,0.005727052688598633,0.0017330836219160584,UP,1,0.2727272727272727,0,NO_UP,False,0.5113636363636364,1,UP,True,0.549400870294278,1,UP,True
2025-12-02,USD/PEN,27,0.1010517692538323,0.0788526255901173,0.0,0.0,1.0,3.371000051498413,3.371000051498413,0.0,0.0,FLAT,0,0.10227272727272728,0,NO_UP,True,0.13636363636363635,0,NO_UP,True,0.25163142238340214,0,NO_UP,True
2025-12-03,USD/PEN,1,0.1154188811779022,0.0960048525159518,0.0,0.0,1.0,3.296597957611084,3.365999937057495,0.06940197944641113,0.0210526064563554,UP,1,0.4431818181818182,0,NO_UP,False,0.18181818181818182,0,NO_UP,False,0.8388819022054621,1,UP,True
2025-12-08,USD/PEN,29,0.083445287309587,0.0652579644623223,0.0344827586206896,0.0,0.9655172413793104,3.291208028793335,3.292167901992798,0.0009598731994628906,0.00029164768409209663,UP,1,0.6136363636363636,1,UP,True,0.6022727272727273,1,UP,True,0.5872100521657806,1,UP,True
2025-12-12,USD/PEN,26,0.0562730743907965,0.0436676634302499,0.0384615384615384,0.0769230769230769,0.8846153846153846,3.2959659099578857,3.368000030517578,0.07203412055969238,0.02185523835124035,UP,1,0.3409090909090909,0,NO_UP,False,0.5227272727272727,1,UP,True,0.6461612647155671,1,UP,True
2025-12-15,USD/PEN,30,0.1057656077978511,0.0820756922866064,0.0666666666666666,0.0,0.9333333333333332,3.294440031051636,3.2933459281921387,-0.0010941028594975144,-0.0003321058660000133,DOWN,0,0.19318181818181818,0,NO_UP,True,0.25,0,NO_UP,True,0.2238088319728527,0,NO_UP,True
2025-12-16,USD/PEN,1,0.0590671673417091,0.0522326696952428,0.0,0.0,1.0,3.298516035079956,3.367500066757202,0.0689840316772461,0.02091365660909207,UP,1,0.5227272727272727,1,UP,True,0.3181818181818182,0,NO_UP,False,0.7790472331473078,1,UP,True
2025-12-24,USD/PEN,29,0.1048461747323644,0.0800733390169094,0.0344827586206896,0.0,0.9655172413793104,3.29732608795166,3.36299991607666,0.065673828125,0.01991729855441668,UP,1,0.20454545454545456,0,NO_UP,False,0.3409090909090909,0,NO_UP,False,0.6956239232376382,1,UP,True
2025-12-26,USD/PEN,26,0.1096520281683367,0.0851285670298239,0.0,0.0,1.0,3.29732608795166,3.36299991607666,0.065673828125,0.01991729855441668,UP,1,0.48863636363636365,0,NO_UP,False,0.32954545454545453,0,NO_UP,False,0.7280994806907723,1,UP,True
2025-12-30,USD/PEN,26,0.1409764531283424,0.1030907873338614,0.0384615384615384,0.0,0.9615384615384616,3.2967751026153564,3.365000009536743,0.06822490692138672,0.02069443768465231,UP,1,0.5681818181818182,1,UP,True,0.5795454545454546,1,UP,True,0.8277465144517556,1,UP,True
2026-01-02,USD/PEN,72,0.0035325585825679,0.002858933699212,0.125,0.1805555555555555,0.6944444444444444,3.2914159297943115,3.297880887985229,0.006464958190917525,0.0019641875499221808,UP,1,0.8181818181818182,1,UP,True,0.7159090909090909,1,UP,True,0.6298318662136869,1,UP,True
2026-01-05,USD/PEN,108,-0.0884388991377178,-0.0571954006858372,0.1018518518518518,0.1944444444444444,0.7037037037037037,3.298377990722656,3.295265913009644,-0.003112077713011807,-0.0009435176082805381,DOWN,0,0.07954545454545454,0,NO_UP,True,0.26136363636363635,0,NO_UP,True,0.4465091602650638,0,NO_UP,True
2026-01-06,USD/PEN,1,-0.7821293752640486,-0.6216546424063931,0.0,1.0,0.0,3.2793619632720947,3.361999988555908,0.08263802528381348,0.025199421780619357,UP,1,0.03409090909090909,0,NO_UP,False,0.06818181818181818,0,NO_UP,False,0.9184290118613144,1,UP,True
2026-01-07,USD/PEN,30,0.1110937035332123,0.0811753095872056,0.0333333333333333,0.0,0.9666666666666668,3.297806978225708,3.361999988555908,0.0641930103302002,0.01946536311980801,UP,1,0.011363636363636364,0,NO_UP,False,0.011363636363636364,0,NO_UP,False,0.9497792597469955,1,UP,True
2026-01-08,USD/PEN,2,-0.0552018079906702,-0.0204833598394627,0.0,0.0,1.0,3.2976291179656982,3.361999988555908,0.06437087059020996,0.019520348798327036,UP,1,0.5795454545454546,1,UP,True,0.022727272727272728,0,NO_UP,False,0.9023833640194573,1,UP,True
2026-01-09,USD/PEN,47,-0.0864012774595237,-0.0725603641407058,0.1276595744680851,0.2553191489361702,0.6170212765957447,3.301943063735962,3.361999988555908,0.06005692481994629,0.018188358690835592,UP,1,0.056818181818181816,0,NO_UP,False,0.10227272727272728,0,NO_UP,False,0.7787019498249944,1,UP,True
2026-01-26,USD/PEN,29,0.1366405049981228,0.1000280751549262,0.0344827586206896,0.0,0.9655172413793104,3.253753900527954,3.261359930038452,0.007606029510498047,0.0023376167168831954,UP,1,0.045454545454545456,0,NO_UP,False,0.056818181818181816,0,NO_UP,False,0.931260741228477,1,UP,True
2026-01-29,USD/PEN,28,0.1390723034606448,0.0986441737372458,0.1071428571428571,0.0,0.8928571428571429,3.280956983566284,3.2775180339813232,-0.0034389495849609375,-0.0010481544263414636,DOWN,0,0.75,1,UP,False,0.09090909090909091,0,NO_UP,True,0.43432673182157167,0,NO_UP,True
2026-02-09,USD/PEN,29,0.1059998741116503,0.0799276978925865,0.0344827586206896,0.0,0.9655172413793104,3.286227941513061,3.287242889404297,0.0010149478912357957,0.0003088489019323743,UP,1,0.7727272727272727,1,UP,True,0.8068181818181818,1,UP,True,0.46165038995085617,0,NO_UP,False
2026-02-10,USD/PEN,29,0.153692634519318,0.1112216184128681,0.0689655172413793,0.0,0.9310344827586208,3.280951023101806,3.3570001125335693,0.07604908943176314,0.023178977344156283,UP,1,0.5340909090909091,1,UP,True,0.6931818181818182,1,UP,True,0.5630188194944014,1,UP,True
2026-02-11,USD/PEN,30,0.1538439294633766,0.1072102036675851,0.1,0.0,0.9,3.2923738956451416,3.3559999465942383,0.06362605094909668,0.019325281078572377,UP,1,0.9204545454545454,1,UP,True,0.7840909090909091,1,UP,True,0.4929973594143149,0,NO_UP,False
2026-02-17,USD/PEN,26,-0.0391548068907398,-0.0434996387458008,0.0384615384615384,0.1538461538461538,0.8076923076923077,3.2911479473114014,3.287276029586792,-0.003871917724609375,-0.0011764641962608868,DOWN,0,0.9318181818181818,1,UP,False,0.9204545454545454,1,UP,False,0.05235952033981238,0,NO_UP,True
2026-02-18,USD/PEN,1,0.0765013340860605,0.067840657375275,0.0,0.0,1.0,3.275718927383423,3.274599075317383,-0.001119852066040039,-0.00034186451611541467,DOWN,0,0.06818181818181818,0,NO_UP,True,0.1590909090909091,0,NO_UP,True,0.21174849877106733,0,NO_UP,True
2026-02-19,USD/PEN,29,0.1054977232847234,0.0821955536680233,0.0344827586206896,0.0,0.9655172413793104,3.2883119583129883,3.351999998092652,0.06368803977966353,0.019368004187880514,UP,1,0.3181818181818182,0,NO_UP,False,0.07954545454545454,0,NO_UP,False,0.8986680129599836,1,UP,True
2026-02-20,USD/PEN,29,0.0841689068695594,0.0678300485733402,0.0,0.0,1.0,3.290416955947876,3.361999988555908,0.07158303260803223,0.02175500356531903,UP,1,0.5113636363636364,1,UP,True,0.3977272727272727,0,NO_UP,False,0.5944051212119296,1,UP,True
2026-02-23,USD/PEN,29,0.1414521408170975,0.1007732666017698,0.0344827586206896,0.0,0.9655172413793104,3.2746639251708984,3.2837579250335693,0.009093999862670898,0.002777078830218066,UP,1,0.375,0,NO_UP,False,0.42045454545454547,0,NO_UP,False,0.8051707826505693,1,UP,True
2026-02-24,USD/PEN,1,0.0142640806734561,0.0129700781633834,0.0,0.0,1.0,3.286962985992432,3.282812118530273,-0.004150867462159091,-0.0012628275644868026,DOWN,0,0.8295454545454546,1,UP,False,0.6704545454545454,1,UP,False,0.09818123995708318,0,NO_UP,True
2026-02-25,USD/PEN,30,0.1343894207539658,0.0959022608199921,0.0333333333333333,0.0,0.9666666666666668,3.2917590141296387,3.3580000400543213,0.06624102592468262,0.020123291419677985,UP,1,0.09090909090909091,0,NO_UP,False,0.29545454545454547,0,NO_UP,False,0.5498340569157008,1,UP,True
2026-03-05,USD/PEN,29,0.1485118623180636,0.1047686891934759,0.1379310344827586,0.0,0.8620689655172413,3.3537731170654297,3.400899887084961,0.04712677001953125,0.014051865875998028,UP,1,0.7272727272727273,1,UP,True,0.2727272727272727,0,NO_UP,False,0.6586277993793838,1,UP,True
2026-03-06,USD/PEN,30,0.1067479498994847,0.0835904370803918,0.0333333333333333,0.0,0.9666666666666668,3.341670036315918,3.3423750400543213,0.0007050037384033203,0.0002109734745626064,UP,1,0.8636363636363636,1,UP,True,0.8636363636363636,1,UP,True,0.1406345981891379,0,NO_UP,False
2026-03-10,USD/PEN,27,0.1390828417131194,0.0976280197893402,0.074074074074074,0.0,0.925925925925926,3.395020008087158,3.486999988555908,0.09197998046875,0.02709261808462033,UP,1,0.5568181818181818,1,UP,True,0.75,1,UP,True,0.08730915509395064,0,NO_UP,False
2026-03-11,USD/PEN,29,0.0696954571096033,0.0606529027933502,0.0,0.0,1.0,3.423134088516236,3.431999921798706,0.008865833282470259,0.0025899754591013325,UP,1,0.7840909090909091,1,UP,True,0.7045454545454546,1,UP,True,0.59028683366442,1,UP,True
2026-03-12,USD/PEN,31,0.0808869411928519,0.0585218797200191,0.0,0.032258064516129,0.967741935483871,3.3709490299224854,3.4170000553131104,0.046051025390625,0.013661145565195312,UP,1,0.25,0,NO_UP,False,0.5454545454545454,1,UP,True,0.44023152296122103,0,NO_UP,False
2026-03-18,USD/PEN,30,0.0539898175746202,0.0407719907493481,0.0,0.0333333333333333,0.9666666666666668,3.34061598777771,3.4159998893737797,0.07538390159606978,0.022565868651732605,UP,1,0.32954545454545453,0,NO_UP,False,0.2840909090909091,0,NO_UP,False,0.5209926154295806,1,UP,True
2026-03-19,USD/PEN,30,0.0763725381034115,0.0646982987096541,0.0,0.0,1.0,3.366413116455078,3.4260001182556152,0.05958700180053711,0.0177004425004391,UP,1,0.18181818181818182,0,NO_UP,False,0.2159090909090909,0,NO_UP,False,0.2238088319728527,0,NO_UP,False
2026-03-24,USD/PEN,27,0.0986108682290823,0.072095190727041,0.037037037037037,0.0,0.9629629629629628,3.4011480808258057,3.470999956130981,0.06985187530517534,0.020537734213623288,UP,1,0.3068181818181818,0,NO_UP,False,0.20454545454545456,0,NO_UP,False,0.709557194362407,1,UP,True
2026-03-25,USD/PEN,27,0.0837098820203984,0.0692682989935144,0.037037037037037,0.0,0.9629629629629628,3.383105993270874,3.383440971374512,0.0003349781036381394,9.901495971584205e-05,UP,1,0.42045454545454547,0,NO_UP,False,0.36363636363636365,0,NO_UP,False,0.5579018131998384,1,UP,True
2026-03-26,USD/PEN,27,0.045850724119831,0.0434550915547057,0.0,0.037037037037037,0.9629629629629628,3.4600000381469727,3.4600000381469727,0.0,0.0,FLAT,0,0.3522727272727273,0,NO_UP,True,0.4090909090909091,0,NO_UP,True,0.6430004714466065,1,UP,False
2026-03-27,USD/PEN,29,0.1197009127715538,0.093376904752224,0.0344827586206896,0.0,0.9655172413793104,3.38870906829834,3.387681007385254,-0.0010280609130859375,-0.00030337833445294384,DOWN,0,0.14772727272727273,0,NO_UP,True,0.19318181818181818,0,NO_UP,True,0.21713002201535422,0,NO_UP,True
2026-03-30,USD/PEN,30,0.1014759039506316,0.0767846376502026,0.0666666666666666,0.0,0.9333333333333332,3.413886070251465,3.4027979373931885,-0.011088132858276367,-0.003247950467620503,DOWN,0,0.6477272727272727,1,UP,False,0.3522727272727273,0,NO_UP,True,0.3516339397745574,0,NO_UP,True
2026-04-01,USD/PEN,29,0.1037326865540496,0.0779211394665917,0.0344827586206896,0.0,0.9655172413793104,3.40971302986145,3.494999885559082,0.08528685569763184,0.025012913095826532,UP,1,0.45454545454545453,0,NO_UP,False,0.625,1,UP,True,0.4341563860966882,0,NO_UP,False
2026-04-02,USD/PEN,1,0.43162277713418,0.2143674505508284,0.0,0.0,1.0,3.4115068912506104,3.4590001106262207,0.04749321937561035,0.01392147836412548,UP,1,0.4659090909090909,0,NO_UP,False,0.5340909090909091,1,UP,True,0.733571437896258,1,UP,True
2026-04-06,USD/PEN,27,0.0736784396900071,0.0602129364449621,0.0,0.0,1.0,3.450999975204468,3.3826050758361816,-0.06839489936828658,-0.019818864056709896,DOWN,0,0.9886363636363636,1,UP,False,0.9772727272727273,1,UP,False,0.3244545474725456,0,NO_UP,True
2026-04-07,USD/PEN,1,0.0632879938930273,0.0555676974072765,0.0,0.0,1.0,3.422499895095825,3.422499895095825,0.0,0.0,FLAT,0,0.29545454545454547,0,NO_UP,True,0.9659090909090909,1,UP,False,0.09750895376737495,0,NO_UP,True
2026-04-08,USD/PEN,28,0.1282879371262554,0.0942791299100464,0.0357142857142857,0.0,0.9642857142857144,3.3221240043640137,3.424999952316284,0.10287594795227051,0.030966919903390254,UP,1,0.23863636363636365,0,NO_UP,False,0.23863636363636365,0,NO_UP,False,0.3771007180276449,0,NO_UP,False
2026-04-09,USD/PEN,1,0.5566264931112528,0.3185925527568274,1.0,0.0,0.0,3.3142249584198,3.380500078201294,0.06627511978149414,0.01999716996069382,UP,1,0.7159090909090909,1,UP,True,0.4318181818181818,0,NO_UP,False,0.2419360542213072,0,NO_UP,False
2026-04-13,USD/PEN,2,0.1384599665179848,0.1133580084899044,0.0,0.0,1.0,3.3129470348358154,3.3017349243164062,-0.01121211051940918,-0.0033843313525731733,DOWN,0,1.0,1,UP,False,0.9886363636363636,1,UP,False,0.19559879621847323,0,NO_UP,True
2026-04-16,USD/PEN,27,0.0534790975421115,0.0453029401776227,0.0,0.037037037037037,0.9629629629629628,3.312088966369629,3.438999891281128,0.12691092491149902,0.038317486698011535,UP,1,0.7613636363636364,1,UP,True,1.0,1,UP,True,0.08834785379130548,0,NO_UP,False
2026-04-17,USD/PEN,1,0.0296071972697973,0.0273232370874111,0.0,0.0,1.0,3.371830940246582,3.3724379539489746,0.0006070137023925781,0.00018002495176943457,UP,1,0.17045454545454544,0,NO_UP,False,0.4431818181818182,0,NO_UP,False,0.43703222156797694,0,NO_UP,False
2026-04-20,USD/PEN,1,0.0718032140284776,0.0632474728404597,0.0,0.0,1.0,3.38385009765625,3.386658906936645,0.0028088092803950637,0.0008300631527207793,UP,1,0.11363636363636363,0,NO_UP,False,0.11363636363636363,0,NO_UP,False,0.45871451983474704,0,NO_UP,False
2026-04-27,USD/PEN,26,0.1228986406483902,0.0879411087206688,0.0384615384615384,0.0,0.9615384615384616,3.4202609062194824,3.3932180404663086,-0.027042865753173828,-0.007906667501300398,DOWN,0,0.2840909090909091,0,NO_UP,True,0.14772727272727273,0,NO_UP,True,0.7244341277013647,1,UP,False
2026-05-04,USD/PEN,28,0.0918883719215435,0.070201296393163,0.0357142857142857,0.0,0.9642857142857144,3.439655065536499,3.506999969482422,0.06734490394592285,0.019578970176597855,UP,1,0.6590909090909091,1,UP,True,0.4659090909090909,0,NO_UP,False,0.20995997876697087,0,NO_UP,False
2026-05-05,USD/PEN,2,-0.4146852851845324,-0.3680679493837989,0.0,0.5,0.5,3.503999948501587,3.503999948501587,0.0,0.0,FLAT,0,0.4090909090909091,0,NO_UP,True,0.5909090909090909,1,UP,False,0.39279743611935974,0,NO_UP,True
2026-05-06,USD/PEN,28,0.0631889199638473,0.0468437343231297,0.0357142857142857,0.0357142857142857,0.9285714285714286,3.4302399158477783,3.48799991607666,0.057760000228881836,0.01683847242346795,UP,1,0.022727272727272728,0,NO_UP,False,0.045454545454545456,0,NO_UP,False,0.4967980509491988,0,NO_UP,False
2026-05-07,USD/PEN,3,0.3407096471637487,0.2848123276126452,0.3333333333333333,0.0,0.6666666666666666,3.396878957748413,3.461999893188477,0.06512093544006392,0.019170814223898245,UP,1,0.22727272727272727,0,NO_UP,False,0.03409090909090909,0,NO_UP,False,0.8205799444894384,1,UP,True
2026-05-08,USD/PEN,137,0.0800654910280484,0.0456095543348424,0.1970802919708029,0.1386861313868613,0.6642335766423357,3.406812906265259,3.4570000171661377,0.050187110900878906,0.014731396258533275,UP,1,0.9772727272727273,1,UP,True,0.9545454545454546,1,UP,True,0.2282436419079866,0,NO_UP,False
